match_id,home_team,away_team,home_goals,away_goals,result,home_player1,home_player2,home_player3,home_player4,home_player5,home_player6,home_player7,home_player8,home_player9,home_player10,home_player11,home_player12,home_player13,home_player14,away_player1,away_player2,away_player3,away_player4,away_player5,away_player6,away_player7,away_player8,away_player9,away_player10,away_player11,away_player12,away_player13,away_player14
22519,Stoke City,West Ham United,0,3,-1, Jack Butland , Geoff Cameron , Ryan Shawcross , Erik Pieters , Kevin Wimmer , Ramadan Sobhi , Joe Allen , Xherdan Shaqiri , Darren Fletcher , Mame Biram Diouf , Peter Crouch , Josh Tymon , Charlie Adam , Saido Berahino , Adrian , Aaron Cresswell , Angelo Ogbonna , James Collins , Mark Noble , Arthur Masuaku , Pablo Zabaleta , Pedro Obiang , Marko Arnautovic , Michail Antonio , Manuel Lanzini , Declan Rice , Chicharito , Diafra Sakho 
22520,Watford,Huddersfield Town,1,4,-1, Heurelho Gomes , Christian Kabasele , Adrian Mariappa , Sebastian Prodl , Abdoulaye Doucoure , Daryl Janmaat , Jose Holebas , Etienne Capoue , Richarlison , Andre Carrillo , Troy Deeney , Roberto Pereyra , Andre Gray , Stefano Okaka , Jonas Lossl , Chris Lowe , Christopher Schindler , Florent Hadergjonaj , Zanka , Jonathan Hogg , Aaron Mooy , Collin Quaner , Rajiv van La Parra , Laurent Depoitre , Elias Kachunga , Scott Malone , Tom Ince , Danny Williams 
22521,West Bromwich Albion,Manchester United,1,2,-1, Ben Foster , Ahmed Hegazi , Kieran Gibbs , Allan Nyom , Jonny Evans , Claudio Yacob , Grzegorz Krychowiak , Jake Livermore , Salomon Rondon , James McClean , Oliver Burke , Gareth Barry , Chris Brunt , Jay Rodriguez , David de Gea , Antonio Valencia , Chris Smalling , Ashley Young , Phil Jones , Nemanja Matic , Juan Mata , Marcus Rashford , Jesse Lingard , Ander Herrera , Romelu Lukaku , Marcos Rojo , Scott McTominay , Anthony Martial 
22522,Arsenal,Liverpool,3,3,0, Petr Cech , Laurent Koscielny , Nacho Monreal , Hector Bellerin , Ainsley Maitland-Niles , Granit Xhaka , Jack Wilshere , Alexis Sanchez , Mesut Ozil , Alex Iwobi , Alexandre Lacazette , Shkodran Mustafi , Danny Welbeck , Theo Walcott , Simon Mignolet , Dejan Lovren , Joseph Gomez , Ragnar Klavan , Andrew Robertson , Coutinho , Sadio Mane , Emre Can , Jordan Henderson , Mohamed Salah , Roberto Firmino , James Milner , Georginio Wijnaldum , Alex Oxlade-Chamberlain 
22523,Brighton and Hove Albion,Watford,1,0,1, Mat Ryan , Bruno , Connor Goldson , Lewis Dunk , Markus Suttner , Anthony Knockaert , Dale Stephens , Solly March  , Davy Propper , Tomer Hemed , Pascal Gross , Beram Kayal , Glenn Murray , Jose Izquierdo  , Heurelho Gomes , Daryl Janmaat , Jose Holebas , Sebastian Prodl , Christian Kabasele , Roberto Pereyra , Tom Cleverley , Richarlison , Andre Carrillo , Ben Watson , Andre Gray , Etienne Capoue , Jerome Sinclair , Stefano Okaka 
22524,Burnley,Tottenham Hotspur,0,3,-1, Nick Pope , Phil Bardsley , Ben Mee , Charlie Taylor , Kevin Long , Scott Arfield , Jack Cork , Steven Defour , Johann Gudmundsson , Chris Wood , Jeff Hendrick , Ashley Barnes , Sam Vokes , Nahki Wells , Hugo Lloris , Ben Davies , Serge Aurier , Davinson Sanchez , Jan Vertonghen , Christian Eriksen , Eric Dier , Son Heung-Min , Dele Alli , Moussa Sissoko , Harry Kane , Erik Lamela , Mousa Dembele , Fernando Llorente 
22525,Everton,Chelsea,0,0,0, Jordan Pickford , Michael Keane , Phil Jagielka , Jonjoe Kenny , Cuco Martina , Aaron Lennon , Morgan Schneiderlin , Gylfi Sigurdsson , Idrissa Gueye , Tom Davies , Dominic Calvert-Lewin , Ashley Williams , Beni Baningime , Sandro Ramirez , Thibaut Courtois , Cesar Azpilicueta , Andreas Christensen , Antonio Rudiger , Victor Moses , NGolo Kante , Marcos Alonso , Tiemoue Bakayoko , Eden Hazard , Pedro , Willian , Davide Zappacosta , Cesc Fabregas , Michy Batshuayi 
22526,Leicester City,Manchester United,2,2,0, Kasper Schmeichel , Wes Morgan , Danny Simpson , Christian Fuchs , Harry Maguire , Vicente Iborra , Demarai Gray , Riyad Mahrez , Wilfred Ndidi , Marc Albrighton , Jamie Vardy , Ben Chilwell , Daniel Amartey , Shinji Okazaki , David de Gea , Chris Smalling , Phil Jones , Ashley Young , Victor Lindelof , Juan Mata , Nemanja Matic , Anthony Martial , Paul Pogba , Jesse Lingard , Romelu Lukaku , Ander Herrera , Henrikh Mkhitaryan , Marcus Rashford 
22527,Manchester City,AFC Bournemouth,4,0,1, Ederson , Vincent Kompany , Kyle Walker , Nicolas Otamendi , Fabian Delph , Kevin De Bruyne , Fernandinho , David Silva , Raheem Sterling , Sergio Aguero , Leroy Sane , Danilo , Bernardo Silva , Ilkay Gundogan , Asmir Begovic , Jack Simpson , Steve Cook , Nathan Ake , Adam Smith , Ryan Fraser , Dan Gosling , Andrew Surman , Callum Wilson , Jordon Ibe , Junior Stanislas , Marc Pugh , Benik Afobe , Lys Mousset 
22528,Southampton,Huddersfield Town,1,1,0, Fraser Forster , Matt Targett , Jack Stephens , Wesley Hoedt , Maya Yoshida , Dusan Tadic , Steven Davis , James Ward-Prowse , Nathan Redmond , Mario Lemina , Charlie Austin , Pierre-Emile Hojbjerg , Sofiane Boufal , Manolo Gabbiadini , Jonas Lossl , Florent Hadergjonaj , Zanka , Scott Malone , Christopher Schindler , Tom Ince , Danny Williams , Rajiv van La Parra , Aaron Mooy , Collin Quaner , Laurent Depoitre , Tommy Smith , Steve Mounie , Joe Lolley 
22529,Stoke City,West Bromwich Albion,3,1,1, Jack Butland , Kevin Wimmer , Thomas Edwards , Kurt Zouma , Ryan Shawcross , Joe Allen , Xherdan Shaqiri , Geoff Cameron , Eric Maxim Choupo-Moting , Darren Fletcher , Peter Crouch , Mame Biram Diouf , Ramadan Sobhi ,, Ben Foster , Allan Nyom , Jonny Evans , Ahmed Hegazi , Kieran Gibbs , Jake Livermore , Gareth Barry , James McClean , Chris Brunt , Hal Robson-Kanu , Salomon Rondon , Oliver Burke , Nacer Chadli , Jay Rodriguez 
