match_id,home_team,away_team,home_goals,away_goals,result,home_player1,home_player2,home_player3,home_player4,home_player5,home_player6,home_player7,home_player8,home_player9,home_player10,home_player11,home_player12,home_player13,home_player14,away_player1,away_player2,away_player3,away_player4,away_player5,away_player6,away_player7,away_player8,away_player9,away_player10,away_player11,away_player12,away_player13,away_player14
38406,Tottenham Hotspur,Manchester City,0,1,-1, Hugo Lloris , Toby Alderweireld , Ben Davies , Kieran Trippier , Davinson Sánchez , Erik Lamela , Mousa Dembélé , Eric Dier , Moussa Sissoko , Lucas Moura , Harry Kane , Christian Eriksen , Harry Winks , Dele Alli , Ederson , Kyle Walker , Aymeric Laporte , Benjamin Mendy , John Stones , Fernandinho , David Silva , Bernardo Silva , Sergio Agüero , Riyad Mahrez  , Raheem Sterling , Vincent Kompany , Kevin De Bruyne , Gabriel Jesus  
38407,Watford,Huddersfield Town,3,0,1, Ben Foster , Adrian Mariappa , Craig Cathcart , Adam Masina , Kiko Femenía , Will Hughes , Abdoulaye Doucouré , Roberto Pereyra , Etienne Capoue , Gerard Deulofeu , Isaac Success , Christian Kabasele , Ken Sema , Andre Gray , Jonas Lössl , Chris Löwe , Erik Durm , Christopher Schindler , Zanka , Isaac Mbenza , Aaron Mooy , Jonathan Hogg , Philip Billing , Laurent Depoitre , Alex Pritchard , Juninho Bacuna , Ramadan Sobhi , Steve Mounie 
38408,Arsenal,Liverpool,1,1,0, Bernd Leno , Sead Kolasinac , Shkodran Mustafi , Héctor Bellerín , Rob Holding , Henrikh Mkhitaryan , Lucas Torreira , Mesut Özil , Pierre-Emerick Aubameyang , Granit Xhaka , Alexandre Lacazette , Aaron Ramsey , Alex Iwobi , Danny Welbeck , Alisson , Trent Alexander-Arnold , Virgil van Dijk , Joseph Gomez , Andrew Robertson , Georginio Wijnaldum , James Milner , Fabinho , Sadio Mané , Mohamed Salah  , Roberto Firmino , Joel Matip  , Xherdan Shaqiri ,
38409,AFC Bournemouth,Manchester United,1,2,-1, Asmir Begovic , Steve Cook , Nathan Aké , Adam Smith , Simon Francis , Jefferson Lerma , Ryan Fraser , Lewis Cook , Junior Stanislas  , Callum Wilson , David Brooks , Dan Gosling , Andrew Surman  , Jordon Ibe , David de Gea , Victor Lindelöf , Ashley Young , Luke Shaw , Chris Smalling , Nemanja Matic , Fred , Paul Pogba , Alexis Sánchez , Juan Mata , Anthony Martial , Ander Herrera , Jesse Lingard , Marcus Rashford 
38410,Cardiff CityCAR,Leicester City,0,1,-1, Neil Etheridge , Joe Bennett , Sol Bamba , Bruno Ecuele Manga , Sean Morrison , Aron Gunnarsson , Víctor Camarasa , Josh Murphy , Harry Arter , Callum Paterson , Bobby De Cordova-Reid , Gary Madine , Danny Ward , David Junior Hoilett , Kasper Schmeichel , Wes Morgan , Harry Maguire , Ben Chilwell , Ricardo Pereira , James Maddison , Nampalys Mendy , Wilfred Ndidi , Demarai Gray , Marc Albrighton , Jamie Vardy , Jonny Evans , Danny Simpson , Vicente Iborra 
38411,Chelsea,Crystal Palace,3,1,1, Kepa Arrizabalaga , Marcos Alonso , Antonio Rüdiger , David Luiz , César Azpilicueta , NGolo Kanté , Ross Barkley , Jorginho , Álvaro Morata , Pedro , Willian , Cesc Fàbregas , Mateo Kovacic , Eden Hazard , Wayne Hennessey , Aaron Wan-Bissaka , Patrick van Aanholt , James Tomkins , Mamadou Sakho , Luka Milivojevic , Cheikhou Kouyaté , Max Meyer , James McArthur , Wilfried Zaha , Andros Townsend , Jeffrey Schlupp , Jordan Ayew ,
38412,Everton,Brighton and Hove Albion,3,1,1, Jordan Pickford , Michael Keane , Lucas Digne , Seamus Coleman , Kurt Zouma , Gylfi Sigurdsson , Idrissa Gueye , André Gomes , Bernard , Theo Walcott , Richarlison , Yerry Mina , Dominic Calvert-Lewin , Ademola Lookman , Mat Ryan , Lewis Dunk , Bruno , Gaëtan Bong , Shane Duffy , Alireza Jahanbakhsh  , Dale Stephens , José Izquierdo , Beram Kayal , Solly March , Glenn Murray , Yves Bissouma , Anthony Knockaert , Florin Andone 
38413,Huddersfield Town,FulhamFUL,1,0,1, Jonas Lössl , Christopher Schindler , Zanka , Terence Kongolo , Jonathan Hogg , Chris Löwe , Florent Hadergjonaj , Philip Billing , Alex Pritchard , Aaron Mooy , Steve Mounie , Juninho Bacuna , Isaac Mbenza , Laurent Depoitre , Sergio Rico , Timothy Fosu-Mensah , Maxime Le Marchand , Ryan Sessegnon , Denis Odoi , André-Frank Zambo Anguissa , Jean Michael Seri , Tom Cairney , Aleksandar Mitrovic , André Schürrle , Luciano Vietto , Cyrus Christie , Kevin McDonald , Stefan Johansen 
38414,Manchester City,Southampton,6,1,1, Ederson , Benjamin Mendy , Kyle Walker , John Stones , Aymeric Laporte , David Silva , Fernandinho , Bernardo Silva , Raheem Sterling , Leroy Sané , Sergio Agüero , Vincent Kompany , Phil Foden , Fabian Delph , Alex McCarthy , Cédric Soares , Ryan Bertrand , Jack Stephens , Wesley Hoedt , Pierre-Emile Højbjerg , Nathan Redmond , Mario Lemina , James Ward-Prowse , Shane Long , Danny Ings , Mohamed Elyounoussi , Stuart Armstrong , Michael Obafemi 
38415,Newcastle United,Watford,1,0,1, Martin Dubravka , Jamaal Lascelles , DeAndre Yedlin , Paul Dummett , Federico Fernández , Kenedy , Matt Ritchie , Mohamed Diamé , Jonjo Shelvey , Yoshinori Muto  , Salomón Rondón , Fabian Schär , Ki Sung-yueng , Ayoze Pérez  , Ben Foster , Adrian Mariappa , Kiko Femenía , José Holebas , Craig Cathcart , Roberto Pereyra , Etienne Capoue , Will Hughes , Abdoulaye Doucouré , Gerard Deulofeu , Isaac Success , Nathaniel Chalobah , Stefano Okaka , Andre Gray 
